port_name,year,month,num_of_ship,num_of_delay,total_congestion_time,act,aact,acr
Algeciras,2017,1,247,66,1477.8725813,5.983289802834008,22.39200880757576,0.2672064777327935
Algeciras,2017,2,193,45,1526.6153143,7.909923908290155,33.92478476222222,0.233160621761658
Algeciras,2017,3,223,27,603.2410923,2.705117005829596,22.34226267777778,0.1210762331838565
Algeciras,2017,4,249,28,692.7193930999999,2.782005594779116,24.739978325,0.1124497991967871
Algeciras,2017,5,288,73,1756.442758,6.098759576388889,24.06085969863014,0.2534722222222222
Algeciras,2017,6,223,56,1868.6024179,8.379383039910314,33.36790031964286,0.2511210762331839
Algeciras,2017,7,270,58,1504.9345603,5.573831704814816,25.94714759137931,0.2148148148148148
Algeciras,2017,8,272,60,2432.5560744,8.943220861764706,40.54260124,0.2205882352941176
Algeciras,2017,9,266,41,742.7735288,2.792381687218045,18.11642753170732,0.1541353383458647
Algeciras,2017,10,281,48,773.5934906,2.753001745907473,16.11653105416667,0.1708185053380783
Algeciras,2017,11,273,49,766.598023,2.808051366300366,15.6448576122449,0.1794871794871795
Algeciras,2017,12,270,47,1054.926938,3.907136807407408,22.445254,0.1740740740740741
Algeciras,2018,1,247,49,1251.34781034,5.066185466963563,25.53771041510204,0.1983805668016194
Algeciras,2018,2,277,40,826.8441399,2.984996894945848,20.6711034975,0.1444043321299639
Algeciras,2018,3,244,32,1194.7818252,4.896646824590164,37.3369320375,0.1311475409836066
Algeciras,2018,4,258,34,995.7873337,3.859640828294574,29.28786275588235,0.1317829457364341
Algeciras,2018,5,282,34,680.3076789,2.412438577659575,20.00904937941177,0.1205673758865248
Algeciras,2018,6,263,42,813.4490973000001,3.092962347148289,19.36783565,0.1596958174904943
Algeciras,2018,7,269,50,1288.6697486,4.790593860966543,25.773394972,0.1858736059479554
Algeciras,2018,8,267,39,889.6251459,3.331929385393258,22.81090117692308,0.1460674157303371
Algeciras,2018,9,253,36,1052.6016604,4.160480871146246,29.23893501111111,0.1422924901185771
Algeciras,2018,10,267,35,539.1661144,2.019348743071161,15.40474612571428,0.1310861423220974
Algeciras,2018,11,257,30,559.1713866,2.175764150194552,18.63904622,0.1167315175097276
Algeciras,2018,12,234,27,368.0022253,1.572659082478633,13.62971204814815,0.1153846153846154
Algeciras,2019,1,249,46,776.0427666,3.11663761686747,16.87049492608696,0.1847389558232932
Algeciras,2019,2,236,27,338.7844449,1.435527308898305,12.54757203333333,0.1144067796610169
Algeciras,2019,3,244,19,357.2752797,1.464242949590164,18.80396208947369,0.0778688524590164
Algeciras,2019,4,267,39,824.7458212,3.088935659925094,21.14732874871795,0.1460674157303371
Algeciras,2019,5,281,35,1046.7774881,3.725186790391459,29.90792823142857,0.1245551601423488
Algeciras,2019,6,271,53,1280.6419274,4.725615968265682,24.16305523396226,0.1955719557195572
Algeciras,2019,7,274,45,890.8677703,3.251342227372263,19.79706156222222,0.1642335766423358
Algeciras,2019,8,260,42,574.6105607000001,2.210040618076923,13.68120382619048,0.1615384615384615
Algeciras,2019,9,258,43,945.1699878,3.663449565116279,21.98069739069767,0.1666666666666667
Algeciras,2019,10,266,51,1126.8905694,4.236430712030075,22.09589351764706,0.1917293233082707
Algeciras,2019,11,257,51,1103.971656925,4.295609560019455,21.64650307696078,0.198443579766537
